SampleName,Sample,Date,Project,contributing PI,MetaG Number_of_reads,MetaG Size_bp,Number_of_Bins_Medium_and_High_Quality,Country,GROW_version,has_MetaT,MetaT_bp,has_FTICR,Latitude,Longitude,MetaG_JGI_accession,MetaT sequencing location,MetaT_accession,MetaG mapping,Removed from mapping analysis
augustacreek_2019_sw_WHONDRS-S19S_0067,S19S_0067,8/12/19,WHONDRS,James Stegen,NA,NA,NA,USA,v1,Y,18022158946,Y,42.3921,-85.35412,NA,JGI,3300042578,NA,NA
cachelapoudre_2019_sw_WHONDRS-S19S_0077,S19S_0077,8/18/19,WHONDRS,James Stegen,NA,NA,NA,USA,v1,Y,10052424850,Y,40.66403,-105.223141,NA,UC Denver,TBD,NA,NA
cartcreek_2019_sw_WHONDRS-S19S_0073,S19S_0073,8/12/19,WHONDRS,James Stegen,NA,NA,NA,USA,v1,Y,10700839990,Y,42.7688065,-70.9164986,NA,UC Denver,TBD,NA,NA
kingscreed_2019_sw_WHONDRS-S19S_0040,S19S_0040,8/5/19,WHONDRS,James Stegen,NA,NA,NA,USA,v1,Y,8300571472,Y,39.087889,-96.584725,NA,UC Denver,TBD,NA,NA
sawmillbrook_2019_sw_WHONDRS-S19S_0072,S19S_0072,8/12/19,WHONDRS,James Stegen,NA,NA,NA,USA,v1,Y,8766472308,Y,42.5235645,-71.1848201,NA,UC Denver,TBD,NA,NA
providencecreek_2019_sw_WHONDRS-S19S_0007,S19S_0007,7/29/19,WHONDRS,James Stegen,324902932,49060342732,14,USA,v1,Y,8530812648,Y,37.05255,-119.195598,3300043393,UC Denver,TBD,83.465439,No
altamaha_2019_sw_WHONDRS-S19S_0010,S19S_0010,7/31/19,WHONDRS,James Stegen,250282804,37792703404,80,USA,v1,Y,14003601684,Y,31.667875,-81.840062,3300043395,JGI,3300041982,85.533524,No
teakettle_2019_sw_WHONDRS-S19S_0008,S19S_0008,7/29/19,WHONDRS,James Stegen,233972266,35329812166,1,USA,v1,Y,7580638806,Y,36.961112,-119.027785,3300043441,UC Denver,TBD,65.041237,No
yakimariver_2019_sw_WHONDRS-S19S_0060,S19S_0060,8/19/19,WHONDRS,James Stegen,229758236,34693493636,34,USA,v1,N,NA,Y,46.2531882,-119.4768203,3300043447,NA,NA,69.254225,No
stroublescreek_2019_sw_WHONDRS-S19S_0089,S19S_0089,8/26/19,WHONDRS,James Stegen,221306914,33417344014,57,USA,v1,Y,37230804922,Y,37.21008,-80.44539,3300043425,JGI,3300041988,79.207016,No
teakettle2_2019_sw_WHONDRS-S19S_0032,S19S_0032,8/26/19,WHONDRS,James Stegen,211104136,31876724536,8,USA,v1,Y,8883608142,Y,36.95545,-119.02313,3300043405,UC Denver,TBD,74.681705,No
blueriver_2019_sw_WHONDRS-S19S_0024,S19S_0024,8/18/19,WHONDRS,James Stegen,210080280,31722122280,82,USA,v1,Y,8400441664,Y,34.44205,-96.6227,3300043443,UC Denver,TBD,84.317123,No
guil_2019_sw_WHONDRS-S19S_0049,S19S_0049,8/13/19,WHONDRS,James Stegen,202544480,30584216480,34,USA (Puerto Rico),v1,Y,9285878786,Y,18.17443,-66.80038,3300043413,UC Denver,TBD,86.297178,No
comocreek_2019_sw_WHONDRS-S19S_0026,S19S_0026,8/5/19,WHONDRS,James Stegen,201864702,30481570002,19,USA,v1,Y,8994388084,Y,40.03489,-105.54327,3300042989,UC Denver,TBD,83.502167,No
sharkriverslough_2019_sw_WHONDRS-S19S_0042,S19S_0042,8/5/19,WHONDRS,James Stegen,200041998,30206341698,109,USA,v1,Y,9029522462,Y,25.40976,-80.96434,3300044681,UC Denver,TBD,92.2897873,No
NASQAN2011_188,NASQAN2011_188,2/9/11,NASQAN,Byron Crump,199401784,30109669384,3,USA,v1,N,NA,N,30.75852,-91.39595,3300045578,NA,NA,37.55795,No
whiteclaycreek2_2019_sw_WHONDRS-S19S_0038,S19S_0038,8/12/19,WHONDRS,James Stegen,199284612,30091976412,30,USA,v1,Y,10005948560,Y,39.8594333,-75.7839486,3300044540,UC Denver,TBD,77.18109,No
marthacreek_2019_sw_WHONDRS-S19S_0030,S19S_0030,8/13/19,WHONDRS,James Stegen,197725612,29856567412,7,USA,v1,Y,7406534900,Y,45.792348,-121.929131,3300043403,UC Denver,TBD,77.875656,No
sycamorecreek_2019_sw_WHONDRS-S19S_0028,S19S_0028,8/6/19,WHONDRS,James Stegen,193590886,29232223786,16,USA,v1,Y,12334769012,Y,33.750675,-111.507871,3300043445,JGI,3300041983,90.854364,No
lewisrun_2019_sw_WHONDRS-S19S_0014,S19S_0014,8/19/19,WHONDRS,James Stegen,192437590,29058076090,39,USA,v1,N,NA,Y,39.0941,-77.9808,3300043399,NA,NA,76.412762,No
riogrande_2019_sw_WHONDRS-S19S_0066,S19S_0066,8/18/19,WHONDRS,James Stegen,190523662,28769072962,100,USA,v1,Y,9634328198,Y,35.19845,-106.643178,3300043449,UC Denver,TBD,80.174137,No
NASQAN2011_332,NASQAN2011_332,8/17/11,NASQAN,Byron Crump,188271024,28428924624,30,USA,v1,N,NA,N,38.13088,-87.94142,3300045581,NA,NA,73.13782,No
NASQAN2015_010,NASQAN2015_010,2/3/15,NASQAN,Byron Crump,188021772,28391287572,14,USA,v1,N,NA,N,61.93369,-162.88294,3300047277,NA,NA,77.353138,No
oksrukuyikcreek_2019_sw_WHONDRS-S19S_0050,S19S_0050,8/13/19,WHONDRS,James Stegen,187055322,28245353622,16,USA,v1,Y,9505598282,Y,68.66953,-149.14198,3300043414,UC Denver,TBD,63.48793,No
poseycreek_2019_sw_WHONDRS-S19S_0013,S19S_0013,8/19/19,WHONDRS,James Stegen,185090406,27948651306,4,USA,v1,Y,8686811352,Y,38.8952,-78.1476,3300043398,UC Denver,TBD,76.391815,No
farmington_2019_sw_WHONDRS-S19S_0053,S19S_0053,8/25/19,WHONDRS,James Stegen,183041168,27639216368,64,USA,v1,Y,13673281030,Y,41.869567,-72.7966519,3300046786,UC Denver,TBD,70.1833,No
eastriver_2019_sw_WHONDRS-S19S_0100,S19S_0100,8/20/19,WHONDRS,James Stegen,177268274,26767509374,51,USA,v1,N,NA,Y,38.92352,-106.950961,3300043429,NA,NA,78.9926,No
NASQAN2015_114,NASQAN2015_114,2/17/15,NASQAN,Byron Crump,175370218,26480902918,5,USA,v1,N,NA,N,38.92956,-77.11692,3300047393,NA,NA,71.709806,No
marshallgulch_2019_sw_WHONDRS-S19S_0035,S19S_0035,8/12/19,WHONDRS,James Stegen,173688248,26226925448,11,USA,v1,Y,7452985218,Y,32.42735,-110.757838,3300043406,UC Denver,TBD,75.680655,No
crookedriver_2019_sw_WHONDRS-S19S_0041,S19S_0041,8/5/19,WHONDRS,James Stegen,173378712,26180185512,42,USA,v1,N,NA,Y,44.299994,-120.858196,3300043409,NA,NA,77.015722,No
pringlecreek_2019_sw_WHONDRS-S19S_0025,S19S_0025,8/6/19,WHONDRS,James Stegen,173277820,26164950820,86,USA,v1,Y,7758527376,Y,33.37853,-97.78275,3300043444,UC Denver,TBD,87.887263,No
king_2019_sw_WHONDRS-S19S_0016,S19S_0016,8/12/19,WHONDRS,James Stegen,172104556,25987787956,15,USA,v1,Y,10570796676,Y,39.10445,-96.6025,3300043400,UC Denver,TBD,74.34652,No
cariboucreek_2019_sw_WHONDRS-S19S_0051,S19S_0051,8/14/19,WHONDRS,James Stegen,171991374,25970697474,2,USA,v1,Y,10404070026,Y,65.1531,-147.50267,3300044804,UC Denver,TBD,65.152233,No
arikareeriver_2019_sw_WHONDRS-S19S_0023,S19S_0023,8/6/19,WHONDRS,James Stegen,171977790,25968646290,40,USA,v1,Y,8415911312,Y,39.75841,-102.44896,3300042988,UC Denver,TBD,84.669071,No
redbuttecreek_2019_sw_WHONDRS-S19S_0029,S19S_0029,8/5/19,WHONDRS,James Stegen,171201950,25851494450,10,USA,v1,Y,8405023306,Y,40.78319,-111.80126,3300043402,UC Denver,TBD,84.590971,No
NASQAN2016_083,NASQAN2016_083,8/3/16,NASQAN,Byron Crump,168926710,25507933210,83,USA,v1,N,NA,N,39.65791,-76.17418,3300047457,NA,NA,85.5287075,No
NASQAN2011_096,NASQAN2011_096,5/17/11,NASQAN,Byron Crump,166878722,25198687022,0,USA,v1,N,NA,N,39.70338,-90.64541,3300046764,NA,NA,0,Yes
pamunkeyriver_2019_sw_WHONDRS-S19S_0054,S19S_0054,8/5/19,WHONDRS,James Stegen,166644062,25163253362,72,USA,v1,Y,9800400716,Y,37.57261,-77.0237,3300043446,UC Denver,TBD,80.614107,No
redbuttecreek_2019_sw_WHONDRS-S19S_0086,S19S_0086,8/19/19,WHONDRS,James Stegen,166243524,25102772124,29,USA,v1,Y,8347398686,Y,40.7797,-111.8064,3300043423,UC Denver,TBD,76.012825,No
tombigeeriver_2019_sw_WHONDRS-S19S_0020,S19S_0020,8/19/19,WHONDRS,James Stegen,164688994,24868038094,63,USA,v1,Y,7389937584,Y,31.85294,-88.15755,3300042987,UC Denver,TBD,88.200956,No
umpqua_2019_sw_WHONDRS-S19S_0079,S19S_0079,9/6/19,WHONDRS,James Stegen,164265712,24804122512,80,USA,v1,Y,9926605308,Y,43.6369,-123.5721,3300043419,UC Denver,TBD,85.75058,No
morescreek_2019_sw_WHONDRS-S19S_0085,S19S_0085,8/19/19,WHONDRS,James Stegen,162640842,24558767142,13,USA,v1,Y,6623210320,Y,43.6479639,-115.9902503,3300043422,UC Denver,TBD,68.613625,No
NASQAN2011_031,NASQAN2011_031,3/31/11,NASQAN,Byron Crump,160839532,24286769332,1,USA,v1,N,NA,N,37.03784,-88.52949,3300045424,NA,NA,35.351105,No
whiteclaycreek1_2019_sw_WHONDRS-S19S_0037,S19S_0037,8/12/19,WHONDRS,James Stegen,158821178,23981997878,31,USA,v1,Y,7834678488,Y,39.8577967,-75.7830393,3300043408,UC Denver,TBD,72.444445,No
cobbmillcreek_2019_sw_WHONDRS-S19S_0090,S19S_0090,8/17/19,WHONDRS,James Stegen,158536624,23939030224,29,USA,v1,Y,10950138574,Y,37.291383,-75.930606,3300043432,UC Denver,TBD,85.1516905,No
eastforkpoplarcreek_2019_sw_WHONDRS-S19S_0039,S19S_0039,8/5/19,WHONDRS,James Stegen,158262398,23897622098,48,USA,v1,Y,10160701514,Y,35.966194,-84.359197,3300044825,UC Denver,TBD,76.49749,No
middleoconee_2019_sw_WHONDRS-S19S_0011,S19S_0011,8/5/19,WHONDRS,James Stegen,157051460,23714770460,8,USA,v1,Y,21713430352,Y,33.955686,-83.437674,3300043396,JGI,3300042578,46.910465,No
columbiariver1_2019_sw_WHONDRS-S19S_0075,S19S_0075,8/6/19,WHONDRS,James Stegen,157016836,23709542236,58,USA,v1,N,NA,Y,46.694742,-119.465555,3300044700,NA,NA,84.483862,No
southforkpolouse_2019_sw_WHONDRS-S19S_0055,S19S_0055,8/5/19,WHONDRS,James Stegen,156847906,23684033806,41,USA,v1,N,NA,Y,46.732428,-117.180863,3300046787,NA,NA,81.596088,No
NASQAN2015_208,NASQAN2015_208,11/30/15,NASQAN,Byron Crump,156214376,23588370776,24,USA,v1,N,NA,N,37.67604,-121.26633,3300047289,NA,NA,58.848984,No
littlewindriver_2019_sw_WHONDRS-S19S_0009,S19S_0009,7/30/19,WHONDRS,James Stegen,155289302,23448684602,36,USA,v1,Y,13789174738,Y,42.9877,-108.3983,3300043394,JGI,3300041981,71.986263,No
icacos_2019_sw_WHONDRS-S19S_0094,S19S_0094,8/19/19,WHONDRS,James Stegen,155180920,23432318920,90,USA (Puerto Rico),v1,Y,8221020746,Y,18.2754452,-65.7852826,3300043427,UC Denver,TBD,82.251179,No
NASQAN2011_435,NASQAN2011_435,10/18/11,NASQAN,Byron Crump,153915504,23241241104,0,USA,v1,N,NA,N,41.01528,-96.15778,3300045584,NA,NA,1.96243,Yes
muddycreek_2019_sw_WHONDRS-S19S_0082,S19S_0082,8/19/19,WHONDRS,James Stegen,152895654,23087243754,76,USA,v1,Y,1748602952,Y,38.8748619,-76.5465418,3300043420,JGI,3300041987,91.413158,No
lecontecreek_2019_sw_WHONDRS-S19S_0018,S19S_0018,8/5/19,WHONDRS,James Stegen,152810500,23074385500,4,USA,v1,N,NA,Y,35.6922935,-83.504941,3300043431,NA,NA,65.128685,No
littlewolfcreek_2019_sw_WHONDRS-S19S_0078,S19S_0078,9/6/19,WHONDRS,James Stegen,152460336,23021510736,39,USA,v1,Y,26195007370,Y,43.43138889,-123.5855556,3300043418,JGI,3300041986,86.150324,No
mcraecreek_2019_sw_WHONDRS-S19S_0031,S19S_0031,8/19/19,WHONDRS,James Stegen,151860850,22930988350,6,USA,v1,N,NA,Y,44.2602628,-122.1650676,3300043404,NA,NA,74.900585,No
lowercolorado_2019_sw_WHONDRS-S19S_0063,S19S_0063,8/12/19,WHONDRS,James Stegen,149706432,22605671232,74,USA,v1,Y,11724772500,Y,30.250335,-97.709399,3300043448,UC Denver,TBD,86.040086,No
logan1_2019_sw_WHONDRS-S19S_0097,S19S_0097,8/18/19,WHONDRS,James Stegen,148812872,22470743672,9,USA,v1,Y,8281676238,Y,41.720847,-111.8865,3300043428,UC Denver,TBD,64.79407,No
greatmiami_2019_sw_WHONDRS-S19S_0099,S19S_0099,8/19/19,WHONDRS,James Stegen,148276494,22389750594,58,USA,v1,Y,31270968406,Y,39.2385932,-84.7119066,3300043548,JGI,3300041990,77.454626,No
nfkcasparcreek_2019_sw_WHONDRS-S19S_0069,S19S_0069,8/12/19,WHONDRS,James Stegen,147849382,22325256682,2,USA,v1,N,NA,Y,39.362202,-123.735151,3300043417,NA,NA,33.731064,No
kuparukriver_2019_sw_WHONDRS-S19S_0047,S19S_0047,8/13/19,WHONDRS,James Stegen,147433182,22262410482,14,USA,v1,N,NA,Y,68.64278,-149.40333,3300043412,NA,NA,61.494507,No
NASQAN2011_256,NASQAN2011_256,5/23/11,NASQAN,Byron Crump,146532922,22126471222,18,USA,v1,N,NA,N,41.17809,-91.18209,3300045533,NA,NA,70.042456,No
NASQAN2011_060,NASQAN2011_060,8/8/11,NASQAN,Byron Crump,145628276,21989869676,26,USA,v1,N,NA,N,41.25889,-95.92251,3300045433,NA,NA,62.495262,No
flintriver_2019_sw_WHONDRS-S19S_0015,S19S_0015,8/5/19,WHONDRS,James Stegen,145461294,21964655394,62,USA,v1,N,NA,Y,31.184396,-84.439009,3300043430,NA,NA,91.821157,No
hopbrook_2019_sw_WHONDRS-S19S_0012,S19S_0012,8/13/19,WHONDRS,James Stegen,144875604,21876216204,22,USA,v1,N,NA,Y,42.47179,-72.33027,3300043397,NA,NA,73.429733,No
NASQAN2011_333,NASQAN2011_333,10/26/11,NASQAN,Byron Crump,144776532,21861256332,1,USA,v1,N,NA,N,38.13088,-87.94142,3300045537,NA,NA,32.832146,No
NASQAN2015_109,NASQAN2015_109,4/29/15,NASQAN,Byron Crump,144352782,21797270082,27,USA,v1,N,NA,N,32.71866,-114.71884,3300047283,NA,NA,67.127262,No
NASQAN2015_174,NASQAN2015_174,2/10/15,NASQAN,Byron Crump,144047202,21751127502,11,USA,v1,N,NA,N,31.42717,-81.60539,3300047288,NA,NA,62.87015,No
logan2_2019_sw_WHONDRS-S19S_0098,S19S_0098,8/18/19,WHONDRS,James Stegen,143283286,21635776186,20,USA,v1,Y,10121099650,Y,41.950204,-111.580533,3300043452,UC Denver,TBD,78.761774,No
NASQAN2016_159,NASQAN2016_159,5/12/16,NASQAN,Byron Crump,143135054,21613393154,2,USA,v1,N,NA,N,41.72167,-73.94111,3300047293,NA,NA,13.59759,No
NASQAN2015_042,NASQAN2015_042,7/27/15,NASQAN,Byron Crump,141929584,21431367184,12,USA,v1,N,NA,N,38.45602,-121.50134,3300047391,NA,NA,53.220654,No
hugercreek_2019_sw_WHONDRS-S19S_0044,S19S_0044,8/6/19,WHONDRS,James Stegen,141580536,21378660936,59,USA,v1,Y,9350960994,Y,33.131027,-79.811134,3300043410,UC Denver,TBD,75.221283,No
NASQAN2015_047,NASQAN2015_047,2/18/15,NASQAN,Byron Crump,141235080,21326497080,11,USA,v1,N,NA,N,37.67604,-121.26633,3300047280,NA,NA,41.669178,No
NASQAN2010_127,NASQAN2010_127,11/8/10,NASQAN,Byron Crump,140343144,21191814744,8,USA,v1,N,NA,N,38.95116,-90.37123,3300045540,NA,NA,53.734344,No
