SampleName,Sample,Date,Project,contributing PI,MetaG Number_of_reads,MetaG Size_bp,Number_of_Bins_Medium_and_High_Quality,Country,GROW_version,has_MetaT,MetaT_bp,has_FTICR,Latitude,Longitude,MetaG_JGI_accession,MetaT sequencing location,MetaT_accession,MetaG mapping,Removed from mapping analysis
columbiariver2_2019_sw_WHONDRS-S19S_0076,S19S_0076,8/6/19,WHONDRS,James Stegen,139849586,21117287486,59,USA,v1,Y,25657564244,Y,46.679191,-119.462605,3300043450,JGI,3300041998,80.902338,No
columbia_2019_sw_WHONDRS-S19S_0074,S19S_0074,8/5/19,WHONDRS,James Stegen,139440114,21055457214,46,USA,v1,Y,41483616940,Y,46.376172,-119.272998,3300044805,JGI,3300041985,80.725992,No
gunnisonriver_2019_sw_WHONDRS-S19S_0062,S19S_0062,8/13/19,WHONDRS,James Stegen,137658900,20786493900,45,USA,v1,Y,5310122474,Y,38.544583,-106.950417,3300043416,UC Denver,TBD,76.305563,No
NASQAN2016_024,NASQAN2016_024,6/22/16,NASQAN,Byron Crump,136465860,20606344860,11,USA,v1,N,NA,N,38.45602,-121.50134,3300047292,NA,NA,49.492573,No
NASQAN2011_028,NASQAN2011_028,2/11/11,NASQAN,Byron Crump,135636332,20481086132,1,USA,v1,N,NA,N,37.03784,-88.52949,3300045440,NA,NA,39.830227,No
NASQAN2014_188,NASQAN2014_188,11/5/14,NASQAN,Byron Crump,134815978,20357212678,28,USA,v1,N,NA,N,38.92956,-77.11692,3300047272,NA,NA,69.672018,No
columbia_2019_sw_WHONDRS-S19S_0036,S19S_0036,8/5/19,WHONDRS,James Stegen,134406094,20295320194,48,USA,v1,Y,10929757802,Y,46.372515,-119.271902,3300043407,UC Denver,TBD,80.783594,No
NASQAN2014_035,NASQAN2014_035,8/12/14,NASQAN,Byron Crump,134271920,20275059920,35,USA,v1,N,NA,N,29.34969,-95.58245,3300045526,NA,NA,79.921621,No
NASQAN2011_330,NASQAN2011_330,5/24/11,NASQAN,Byron Crump,134215342,20266516642,7,USA,v1,N,NA,N,38.13088,-87.94142,3300045536,NA,NA,47.046238,No
NASQAN2011_250,NASQAN2011_250,1/31/11,NASQAN,Byron Crump,133984746,20231696646,15,USA,v1,N,NA,N,41.17809,-91.18209,3300045532,NA,NA,58.127476,No
NASQAN2010_155,NASQAN2010_155,10/19/10,NASQAN,Byron Crump,133909038,20220264738,31,USA,v1,N,NA,N,41.25889,-95.92251,3300045538,NA,NA,66.944725,No
NASQAN2012_130,NASQAN2012_130,2/8/12,NASQAN,Byron Crump,132793810,20051865310,3,USA,v1,N,NA,N,38.95116,-90.37123,3300045539,NA,NA,45.606823,No
NASQAN2016_016,NASQAN2016_016,1/27/16,NASQAN,Byron Crump,132513840,20009589840,0,USA,v1,N,NA,N,38.45602,-121.50134,3300047291,NA,NA,43.172,No
nebranchanacostia_2019_sw_WHONDRS-S19S_0081,S19S_0081,8/19/19,WHONDRS,James Stegen,131817196,19904396596,48,USA,v1,Y,7720126264,Y,38.960004,-76.9261495,3300043451,UC Denver,TBD,76.820791,No
NASQAN2011_265,NASQAN2011_265,2/4/11,NASQAN,Byron Crump,131362614,19835754714,22,USA,v1,N,NA,N,40.72781,-91.95962,3300045586,NA,NA,60.583866,No
dobsoncreek_2019_sw_WHONDRS-S19S_0087,S19S_0087,8/21/19,WHONDRS,James Stegen,131195730,19810555230,52,USA,v1,Y,8981372186,Y,43.1233451,-116.7743431,3300043424,UC Denver,TBD,76.657845,No
NASQAN2011_209,NASQAN2011_209,2/8/11,NASQAN,Byron Crump,131005794,19781874894,2,USA,v1,N,NA,N,29.69799,-91.37289,3300045528,NA,NA,32.877396,No
NASQAN2010_233,NASQAN2010_233,12/2/10,NASQAN,Byron Crump,130335724,19680694324,8,USA,v1,N,NA,N,40.72781,-91.95962,3300045585,NA,NA,61.512585,No
sangamon_2019_sw_WHONDRS-S19S_0083,S19S_0083,8/19/19,WHONDRS,James Stegen,129545136,19561315536,60,USA,v1,Y,8705030710,Y,40.31083,-88.3227,3300046779,UC Denver,TBD,81.607931,No
NASQAN2015_081,NASQAN2015_081,2/19/15,NASQAN,Byron Crump,128625098,19422389798,9,USA,v1,N,NA,N,39.65791,-76.17418,3300047281,NA,NA,60.108463,No
NASQAN2011_225,NASQAN2011_225,5/12/11,NASQAN,Byron Crump,128048688,19335351888,0,USA,v1,N,NA,N,30.69074,-91.73623,3300045530,NA,NA,28.940735,No
NASQAN2011_051,NASQAN2011_051,2/14/11,NASQAN,Byron Crump,127770988,19293419188,18,USA,v1,N,NA,N,41.25889,-95.92251,3300045425,NA,NA,64.63322,No
watershed3_2019_sw_WHONDRS-S19S_0084,S19S_0084,8/19/19,WHONDRS,James Stegen,126968090,19172181590,31,USA,v1,N,NA,Y,43.954722,-71.722778,3300043421,NA,NA,85.423374,No
NASQAN2015_031,NASQAN2015_031,10/1/15,NASQAN,Byron Crump,125963060,19020422060,21,USA,v1,N,NA,N,45.00616,-74.79491,3300047390,NA,NA,70.54919,No
NASQAN2011_099,NASQAN2011_099,8/24/11,NASQAN,Byron Crump,124329298,18773723998,10,USA,v1,N,NA,N,39.70338,-90.64541,3300045457,NA,NA,59.34974,No
NASQAN2015_052,NASQAN2015_052,5/15/15,NASQAN,Byron Crump,124030690,18728634190,28,USA,v1,N,NA,N,37.67604,-121.26633,3300047392,NA,NA,66.892605,No
mcdi_2019_sw_WHONDRS-S19S_0017,S19S_0017,8/26/19,WHONDRS,James Stegen,123679618,18675622318,19,USA,v1,Y,8910379536,Y,38.94668,-96.44355,3300046777,UC Denver,TBD,60.07762,No
weststlouiscreek_2019_sw_WHONDRS-S19S_0027,S19S_0027,8/13/19,WHONDRS,James Stegen,123566938,18658607638,1,USA,v1,N,NA,Y,39.89064,-105.91125,3300043401,NA,NA,71.22318,No
NASQAN2011_433,NASQAN2011_433,7/20/11,NASQAN,Byron Crump,122313460,18469332460,15,USA,v1,N,NA,N,41.01528,-96.15778,3300045541,NA,NA,55.556152,No
NASQAN2011_262,NASQAN2011_262,8/15/11,NASQAN,Byron Crump,121875220,18403158220,34,USA,v1,N,NA,N,41.17809,-91.18209,3300045534,NA,NA,70.0674,No
NASQAN2015_015,NASQAN2015_015,8/18/15,NASQAN,Byron Crump,120328768,18169643968,4,USA,v1,N,NA,N,61.93369,-162.88294,3300047279,NA,NA,42.321808,No
NASQAN2014_141,NASQAN2014_141,5/14/14,NASQAN,Byron Crump,119754960,18082998960,19,USA,v1,N,NA,N,45.00616,-74.79491,3300047389,NA,NA,74.419147,No
NASQAN2011_231,NASQAN2011_231,2/9/11,NASQAN,Byron Crump,118349562,17870783862,5,USA,v1,N,NA,N,30.44567,-91.19156,3300045531,NA,NA,47.91547,No
lajara_2019_sw_WHONDRS-S19S_0034,S19S_0034,8/5/19,WHONDRS,James Stegen,118344688,17870047888,7,USA,v1,Y,11245440516,Y,35.8677,-106.5233,3300046778,UC Denver,TBD,76.95887,No
NASQAN2011_451,NASQAN2011_451,11/16/11,NASQAN,Byron Crump,116766696,17631771096,5,USA,v1,N,NA,N,38.48977,-87.55002,3300045542,NA,NA,42.29016,No
NASQAN2011_236,NASQAN2011_236,5/9/11,NASQAN,Byron Crump,114911848,17351689048,5,USA,v1,N,NA,N,30.44567,-91.19156,3300045728,NA,NA,42.524445,No
NASQAN2011_275,NASQAN2011_275,8/17/11,NASQAN,Byron Crump,114298264,17259037864,37,USA,v1,N,NA,N,40.72781,-91.95962,3300045587,NA,NA,77.217436,No
NASQAN2011_177,NASQAN2011_177,8/15/11,NASQAN,Byron Crump,113899290,17198792790,28,USA,v1,N,NA,N,38.48977,-87.55002,3300045580,NA,NA,71.723587,No
blackearthcreek_2019_sw_WHONDRS-S19S_0061,S19S_0061,8/12/19,WHONDRS,James Stegen,112929274,17052320374,21,USA,v1,Y,11658832914,Y,43.1095,-89.6407,3300043415,JGI,3300041984,56.62849,No
NASQAN2012_115,NASQAN2012_115,5/9/12,NASQAN,Byron Crump,112548510,16994825010,5,USA,v1,N,NA,N,32.33972,-90.9125,3300045525,NA,NA,50.61175,No
NASQAN2011_219,NASQAN2011_219,2/10/11,NASQAN,Byron Crump,110612452,16702480252,0,USA,v1,N,NA,N,30.69074,-91.73623,3300045529,NA,NA,13.58208,No
NASQAN2014_144,NASQAN2014_144,7/14/14,NASQAN,Byron Crump,108955786,16452323686,48,USA,v1,N,NA,N,45.00616,-74.79491,3300047273,NA,NA,76.880056,No
NASQAN2014_085,NASQAN2014_085,5/21/14,NASQAN,Byron Crump,107660860,16256789860,7,USA,v1,N,NA,N,31.08657,-87.97722,3300045577,NA,NA,50.9238,No
NASQAN2015_101,NASQAN2015_101,8/18/15,NASQAN,Byron Crump,107417608,16220058808,22,USA,v1,N,NA,N,29.94937,-85.01547,3300047282,NA,NA,70.871609,No
NASQAN2011_286,NASQAN2011_286,8/16/11,NASQAN,Byron Crump,106588382,16094845682,31,USA,v1,N,NA,N,41.78059,-90.25207,3300045579,NA,NA,66.105206,No
NASQAN2011_057,NASQAN2011_057,5/23/11,NASQAN,Byron Crump,103959138,15697829838,3,USA,v1,N,NA,N,41.25889,-95.92251,3300045432,NA,NA,31.9743,No
NASQAN2011_458,NASQAN2011_458,12/5/11,NASQAN,Byron Crump,102958946,15546800846,11,USA,v1,N,NA,N,41.17809,-91.18209,3300045588,NA,NA,72.251247,No
NASQAN2014_190,NASQAN2014_190,10/28/14,NASQAN,Byron Crump,102446332,15469396132,68,USA,v1,N,NA,N,29.34969,-95.58245,3300047275,NA,NA,80.763144,No
NASQAN2015_150,NASQAN2015_150,8/7/15,NASQAN,Byron Crump,101008992,15252357792,14,USA,v1,N,NA,N,41.72167,-73.94111,3300047286,NA,NA,52.58821,No
blackwarrior_2019_sw_WHONDRS-S19S_0021,S19S_0021,8/20/19,WHONDRS,James Stegen,98893064,14932852664,63,USA,v1,Y,10134241180,Y,32.54069,-87.79835,3300043442,JGI,3300042579,86.109,No
Yukon_2004-1,Yukon_2004-1,4/7/04,Yukon,Byron Crump,98759698,14912714398,15,USA,v1,N,NA,N,61.93333333,-162.8666667,3300047301,NA,NA,81.198269,No
NASQAN2011_429,NASQAN2011_429,5/11/11,NASQAN,Byron Crump,96993876,14646075276,0,USA,v1,N,NA,N,41.01528,-96.15778,3300046776,NA,NA,35.52837,No
NASQAN2014_193,NASQAN2014_193,10/22/14,NASQAN,Byron Crump,96653184,14594630784,53,USA,v1,N,NA,N,31.42717,-81.60539,3300047276,NA,NA,79.637808,No
NASQAN2015_172,NASQAN2015_172,5/20/15,NASQAN,Byron Crump,94465602,14264305902,28,USA,v1,N,NA,N,31.42717,-81.60539,3300047287,NA,NA,75.867367,No
NASQAN2015_111,NASQAN2015_111,8/19/15,NASQAN,Byron Crump,93110278,14059651978,73,USA,v1,N,NA,N,32.71866,-114.71884,3300047284,NA,NA,79.56906,No
NASQAN2012_132,NASQAN2012_132,5/2/12,NASQAN,Byron Crump,92877628,14024521828,0,USA,v1,N,NA,N,38.95116,-90.37123,3300046775,NA,NA,0,Yes
NASQAN2016_179,NASQAN2016_179,4/20/16,NASQAN,Byron Crump,91987418,13890100118,0,USA,v1,N,NA,N,25.87675,-97.45443,3300047296,NA,NA,26.3603,No
NASQAN2011_282,NASQAN2011_282,5/19/11,NASQAN,Byron Crump,91767560,13856901560,0,USA,v1,N,NA,N,41.78059,-90.25207,3300045535,NA,NA,38.535286,No
NASQAN2015_227,NASQAN2015_227,12/23/15,NASQAN,Byron Crump,91038200,13746768200,25,USA,v1,N,NA,N,29.94937,-85.01547,3300047290,NA,NA,64.736767,No
NASQAN2010_190,NASQAN2010_190,8/4/10,NASQAN,Byron Crump,90453106,13658419006,24,USA,v1,N,NA,N,37.20311,-89.04174,3300045583,NA,NA,70.418417,No
NASQAN2015_013,NASQAN2015_013,6/9/15,NASQAN,Byron Crump,87636190,13233064690,7,USA,v1,N,NA,N,61.93369,-162.88294,3300047278,NA,NA,53.5273,No
NASQAN2015_206,NASQAN2015_206,12/9/15,NASQAN,Byron Crump,86829500,13111254500,5,USA,v1,N,NA,N,38.45602,-121.50134,3300047285,NA,NA,43.61651,No
deadrun_2019_sw_WHONDRS-S19S_0006,S19S_0006,7/29/19,WHONDRS,James Stegen,85834628,12961028828,54,USA,v1,Y,7591080154,Y,39.311369,-76.717163,3300043392,UC Denver,TBD,84.815616,No
Yukon_2004-3,Yukon_2004-3,6/15/04,Yukon,Byron Crump,85075012,12846326812,3,USA,v1,N,NA,N,61.93333333,-162.8666667,3300047302,NA,NA,62.328346,No
NASQAN2010_172,NASQAN2010_172,12/6/10,NASQAN,Byron Crump,85003950,12835596450,0,USA,v1,N,NA,N,37.21647,-89.46758,3300046774,NA,NA,0,Yes
NASQAN2011_198,NASQAN2011_198,8/22/11,NASQAN,Byron Crump,83893812,12667965612,0,USA,v1,N,NA,N,30.75852,-91.39595,3300046767,NA,NA,12.780975,No
NASQAN2014_185,NASQAN2014_185,10/28/14,NASQAN,Byron Crump,83468900,12603803900,77,USA,v1,N,NA,N,32.71866,-114.71884,3300047274,NA,NA,76.934517,No
NASQAN2011_240,NASQAN2011_240,2/8/11,NASQAN,Byron Crump,80787310,12198883810,0,USA,v1,N,NA,N,29.69282,-91.21194,3300046803,NA,NA,3.936874,Yes
NASQAN2011_239,NASQAN2011_239,8/22/11,NASQAN,Byron Crump,79100808,11944222008,2,USA,v1,N,NA,N,30.44567,-91.19156,3300046770,NA,NA,8.347305,Yes
NASQAN2010_121,NASQAN2010_121,10/4/10,NASQAN,Byron Crump,73909218,11160291918,0,USA,v1,N,NA,N,41.78059,-90.25207,3300045422,NA,NA,14.46954,No
NASQAN2012_124,NASQAN2012_124,5/14/12,NASQAN,Byron Crump,72730466,10982300366,0,USA,v1,N,NA,N,37.21647,-89.46758,3300046773,NA,NA,0,Yes
NASQAN2016_060,NASQAN2016_060,7/12/16,NASQAN,Byron Crump,72439574,10938375674,4,USA,v1,N,NA,N,29.85715,-89.97785,3300047456,NA,NA,47.13601,No
NASQAN2015_002,NASQAN2015_002,2/12/15,NASQAN,Byron Crump,64902106,9800218006,0,USA,v1,N,NA,N,29.94937,-85.01547,3300047663,NA,NA,0,Yes
NASQAN2015_151,NASQAN2015_151,10/23/15,NASQAN,Byron Crump,63659436,9612574836,0,USA,v1,N,NA,N,41.72167,-73.94111,3300047394,NA,NA,0,Yes
NASQAN2016_057,NASQAN2016_057,5/3/16,NASQAN,Byron Crump,62660716,9461768116,0,USA,v1,N,NA,N,29.85715,-89.97785,3300047395,NA,NA,0,Yes
NASQAN2011_401,NASQAN2011_401,10/27/11,NASQAN,Byron Crump,62554192,9445682992,5,USA,v1,N,NA,N,38.70981,-91.4385,3300046043,NA,NA,38.701225,No
NASQAN2011_090,NASQAN2011_090,2/22/11,NASQAN,Byron Crump,61792418,9330655118,0,USA,v1,N,NA,N,39.70338,-90.64541,3300046763,NA,NA,0,Yes
NASQAN2014_024,NASQAN2014_024,1/22/14,NASQAN,Byron Crump,61665366,9311470266,3,USA,v1,N,NA,N,29.34969,-95.58245,3300046031,NA,NA,35.27908,No
NASQAN2016_178,NASQAN2016_178,2/17/16,NASQAN,Byron Crump,60023078,9063484778,21,USA,v1,N,NA,N,25.87675,-97.45443,3300047295,NA,NA,86.81376,No
NASQAN2016_164,NASQAN2016_164,1/14/16,NASQAN,Byron Crump,59952076,9052763476,18,USA,v1,N,NA,N,45.00616,-74.79491,3300047294,NA,NA,74.006277,No
NASQAN2011_217,NASQAN2011_217,8/24/11,NASQAN,Byron Crump,57488140,8680709140,0,USA,v1,N,NA,N,29.69799,-91.37289,3300046768,NA,NA,15.19782,No
NASQAN2011_172,NASQAN2011_172,5/18/11,NASQAN,Byron Crump,56414374,8518570474,0,USA,v1,N,NA,N,38.48977,-87.55002,3300046765,NA,NA,0,Yes
NASQAN2014_089,NASQAN2014_089,8/27/14,NASQAN,Byron Crump,55309052,8351666852,8,USA,v1,N,NA,N,31.08657,-87.97722,3300045527,NA,NA,60.407646,No
NASQAN2011_277,NASQAN2011_277,3/7/11,NASQAN,Byron Crump,53486686,8076489586,0,USA,v1,N,NA,N,41.78059,-90.25207,3300046771,NA,NA,0,Yes
NASQAN2011_229,NASQAN2011_229,8/25/11,NASQAN,Byron Crump,43763328,6608262528,0,USA,v1,N,NA,N,30.69074,-91.73623,3300046769,NA,NA,0,Yes
NASQAN2011_034,NASQAN2011_034,2/8/11,NASQAN,Byron Crump,41147108,6213213308,0,USA,v1,N,NA,N,38.13088,-87.94142,3300046762,NA,NA,0,Yes
NASQAN2012_107,NASQAN2012_107,7/18/12,NASQAN,Byron Crump,39255976,5927652376,0,USA,v1,N,NA,N,32.44417,-90.91417,3300045524,NA,NA,20.40056,No
NASQAN2011_194,NASQAN2011_194,5/9/11,NASQAN,Byron Crump,27688102,4180903402,0,USA,v1,N,NA,N,30.75852,-91.39595,3300046766,NA,NA,0,Yes